________________________________________________________________________________________________________
Check time: 2019-04-03 14:03:16
________________________________________________________________________________________________________
Service:Remote Procedure Call (RPC) Locator| Status: Paused
Service:Remote Procedure Call (RPC)| Status: Running
Service:Security Accounts Manager| Status: Running
Service:Smart Card| Status: Paused
Service:Smart Card Device Enumeration Service| Status: Paused
Service:Task Scheduler| Status: Running
Service:Smart Card Removal Policy| Status: Paused
Service:Windows Backup| Status: Paused
Service:Secondary Logon| Status: Paused
Service:Windows Defender Security Center Service| Status: Running
Service:Windows Remediation Service| Status: Running
Service:Payments and NFC/SE Manager| Status: Running
Service:System Event Notification Service| Status: Running
Service:Sensor Data Service| Status: Paused
Service:Sensor Service| Status: Paused
Service:Sensor Monitoring Service| Status: Paused
Service:Remote Desktop Configuration| Status: Paused
Service:System Guard Runtime Monitor Broker| Status: Running
Service:Internet Connection Sharing (ICS)| Status: Paused
Service:Spatial Data Service| Status: Paused
Service:Shell Hardware Detection| Status: Running
Service:Shared PC Account Manager| Status: Paused
Service:SMITS| Status: Running
Service:Microsoft Storage Spaces SMP| Status: Paused
Service:Microsoft Windows SMS Router Service.| Status: Paused
Service:SNMP Trap| Status: Paused
Service:Windows Perception Service| Status: Paused
Service:Print Spooler| Status: Running
Service:Software Protection| Status: Paused
Service:SSDP Discovery| Status: Running
Service:OpenSSH Authentication Agent| Status: Paused
Service:Secure Socket Tunneling Protocol Service| Status: Running
Service:State Repository Service| Status: Running
Service:Steam Client Service| Status: Paused
Service:Windows Image Acquisition (WIA)| Status: Running
Service:Storage Service| Status: Running
Service:Spot Verifier| Status: Paused
Service:Microsoft Software Shadow Copy Provider| Status: Paused
Service:SynTPEnh Caller Service| Status: Running
Service:Superfetch| Status: Running
Service:System Events Broker| Status: Running
Service:Touch Keyboard and Handwriting Panel Service| Status: Running
Service:Telephony| Status: Running
Service:TEMPRO Service| Status: Running
Service:Remote Desktop Services| Status: Paused
Service:Themes| Status: Running
Service:TOSHIBA HDD Protection| Status: Paused
Service:Storage Tiers Management| Status: Paused
Service:Time Broker| Status: Running
Service:TMachInfo| Status: Running
Service:TOSHIBA Optical Disc Drive Service| Status: Running
Service:Web Account Manager| Status: Running
Service:TOSHIBA eco Utility Service| Status: Running
Service:TPCH Service| Status: Paused
Service:Distributed Link Tracking Client| Status: Running
Service:Windows Modules Installer| Status: Paused
Service:Auto Time Zone Updater| Status: Paused
Service:Remote Desktop Services UserMode Port Redirector| Status: Paused
Service:Update service| Status: Running
Service:UPnP Device Host| Status: Running
Service:User Manager| Status: Running
Service:Update Orchestrator Service| Status: Running
Service:Volumetric Audio Compositor Service| Status: Paused
Service:Credential Manager| Status: Running
Service:Virtual Disk| Status: Paused
Service:Hyper-V Guest Service Interface| Status: Paused
Service:Hyper-V Heartbeat Service| Status: Paused
Service:Hyper-V Data Exchange Service| Status: Paused
Service:Hyper-V Remote Desktop Virtualization Service| Status: Paused
Service:Hyper-V Guest Shutdown Service| Status: Paused
Service:Hyper-V Time Synchronization Service| Status: Paused
Service:Hyper-V PowerShell Direct Service| Status: Paused
Service:Hyper-V Volume Shadow Copy Requestor| Status: Paused
Service:Volume Shadow Copy| Status: Paused
Service:Windows Time| Status: Paused
Service:Windows Update Medic Service| Status: Paused
Service:WalletService| Status: Paused
Service:WarpJITSvc| Status: Paused
Service:Block Level Backup Engine Service| Status: Paused
Service:Windows Biometric Service| Status: Paused
Service:Windows Connection Manager| Status: Running
Service:Windows Connect Now - Config Registrar| Status: Paused
Service:Diagnostic Service Host| Status: Running
Service:Diagnostic System Host| Status: Paused
Service:Windows Defender Antivirus Network Inspection Service| Status: Paused
Service:WebClient| Status: Paused
Service:Windows Event Collector| Status: Paused
Service:Windows Encryption Provider Host Service| Status: Paused
Service:Problem Reports and Solutions Control Panel Support| Status: Paused
Service:Windows Error Reporting Service| Status: Paused
